Strain,Day_0,Day_14,Day_21,Sow
[Eubacterium] coprostanoligenes group,256,10745,12010,856
Acidaminococcaceae,29,7978,7917,524
Ethanoligenenaceae,0,29,24,0
Sutterellaceae,71,181,464,0
Coriobacteriaceae,64,162,577,13
Actinomycetaceae,0,3704,1623,0
Eubacteriaceae,7,654,1830,2
Bifidobacteriaceae,15,37,205,319
Corynebacteriaceae,11,78,129,0
Anaerofustaceae,0,4,2,0
Peptococcaceae,10,306,624,248
Aerococcaceae,9,34,23,48
Bradymonadales,0,104,313,73
Synergistaceae,0,5972,9304,5
Firmicutes,0,29,114,28
Atopobiaceae,0,766,1443,0
Akkermansiaceae,0,341,0,135
Alcaligenaceae,0,19,0,0
Anaerococcus,0,13,3,14
Anaerovoracaceae,90,4372,4649,1341
Tannerellaceae,4,2465,2404,85
Clostridia,0,6726,13588,1145
Fusobacteriaceae,6252,2041,2068,23
Victivallales vadinBE97,0,36,119,0
Peptostreptococcaceae,2203,5091,13236,37625
Bacilli RF39,37,2856,2070,2517
Bacteroidaceae,1087,50777,76384,6515
Bacteroidales,0,69,361,0
Spirochaetaceae,15,986,2453,8596
Pirellulaceae,0,600,1618,798
Helcococcus,0,15,34,0
Bacteroidales p-251-o5,0,0,0,186
Veillonellaceae,4368,1336,1754,529
Desulfovibrionaceae,5,2336,4212,164
Staphylococcaceae,1806,3,0,15
Oscillospirales UCG-010,2,447,2295,286
Bacteroidales F082,0,4,772,6
Helicobacteraceae,0,257,128,56
Oxalobacteraceae,0,6,13,0
Bacteroidales p-2534-18B5 gut group,2,1646,6096,378
Butyricicoccaceae,11,243,387,459
Bacteroidales RF16 group,3,0,0,3
Beijerinckiaceae,6,0,0,0
Campylobacteraceae,5,1393,3523,206
Streptococcaceae,6350,4152,3395,1313
Christensenellaceae,114,11584,38523,8544
Clostridia UCG-014,11,431,600,1883
Clostridia vadinBB60 group,6,2716,10718,31
Succinivibrionaceae,0,0,7,93
Eggerthellaceae,5,724,581,90
Clostridiaceae,47746,15884,28510,188956
Kiritimatiellae WCHB1-41,0,6,36,651
Clostridiales,0,5,0,0
Elusimicrobiaceae,0,0,233,0
Comamonadaceae,2,12,745,0
Deferribacteraceae,0,0,42,0
Pasteurellaceae,3453,466,816,43
Dermabacteraceae,0,6,2,0
Enterobacteriaceae,142897,20209,28827,3373
Enterococcaceae,1347,625,689,83
Ruminococcaceae,187,10717,17847,1381
Erysipelatoclostridiaceae,7,1186,4567,384
Erysipelotrichaceae,214,7190,9749,12792
Ezakiella,0,0,0,81
Gastranaerophilales,0,0,0,76
Saccharimonadaceae,0,7,32,120
Hungateiclostridiaceae,3,0,29,0
Saccharimonadales,0,18,9,0
Hydrogenoanaerobacterium,0,503,845,0
Izemoplasmatales,0,33,74,0
Lactobacillaceae,47,26001,38052,15018
Lachnospiraceae,630,39442,53503,13861
Leuconostocaceae,0,0,0,19
Marinifilaceae,3,2077,3427,0
Methanobacteriaceae,26,22228,38440,16867
Methanomethylophilaceae,2,300,1805,79
Micrococcaceae,86,262,207,0
Mitochondria,0,0,49,0
Monoglobaceae,0,215,761,47
Moraxellaceae,84,0,0,542
Murdochiella,3,22,8,0
Muribaculaceae,137,5944,8755,2783
Mycoplasmataceae,0,0,0,187
Neisseriaceae,0,4,11,0
Selenomonadaceae,0,15,840,2473
Nitrosomonadaceae,0,16,17,0
Oscillospiraceae,480,51528,81947,13510
Oscillospirales,6,50,10,498
Paenibacillaceae,296,44,24,0
Paludibacteraceae,0,6,59,28
Parvimonas,3,43,9,0
Peptoniphilus,0,18,0,6
Planococcaceae,59,0,0,945
Prevotellaceae,95,5306,14395,4694
Puniceicoccaceae,0,20,100,20
Rikenellaceae,12,11482,20312,1045
Saccharofermentans,0,3,7,0
Verrucomicrobiae LD1-PB3,0,5,5,0
Victivallaceae,0,135,146,0
